redundant	header
FBgn0033654	FBgn0033654
FBgn0000078	FBgn0000078
FBgn0034200	FBgn0034200
FBgn0051781	FBgn0051781
FBgn0036080	FBgn0036080
FBgn0005626	FBgn0005626
FBgn0026385	FBgn0026385
FBgn0028875	FBgn0028875
FBgn0010497	FBgn0010497
FBgn0027589	FBgn0027589
FBgn0034490	FBgn0034490
FBgn0261703	FBgn0261703
FBgn0000504	FBgn0000504
FBgn0033367	FBgn0033367
FBgn0004652	FBgn0004652
FBgn0033936	FBgn0033936
FBgn0262169	FBgn0262169
FBgn0028841	FBgn0028841
FBgn0038203	FBgn0038203
FBgn0041621	FBgn0041621
FBgn0031857	FBgn0031857
FBgn0000180	FBgn0000180
FBgn0010052	FBgn0010052
FBgn0002723	FBgn0002723
FBgn0263873	FBgn0263873
