redundant	header
FBgn0267428	FBgn0267428
FBgn0260798	FBgn0260798
FBgn0011288	FBgn0011288
FBgn0000567	FBgn0000567
FBgn0250816	FBgn0250816
FBgn0053196	FBgn0053196
FBgn0002643	FBgn0002643
FBgn0000568	FBgn0000568
FBgn0261885	FBgn0261885
FBgn0011224	FBgn0011224
FBgn0000546	FBgn0000546
FBgn0263995	FBgn0263995
FBgn0004595	FBgn0004595
FBgn0287185	FBgn0287185
FBgn0086655	FBgn0086655
FBgn0263873	FBgn0263873
FBgn0040765	FBgn0040765
FBgn0053554	FBgn0053554
FBgn0013576	FBgn0013576
FBgn0003090	FBgn0003090
FBgn0259176	FBgn0259176
FBgn0026179	FBgn0026179
FBgn0262975	FBgn0262975
FBgn0052423	FBgn0052423
FBgn0263289	FBgn0263289
FBgn0000448	FBgn0000448
FBgn0266557	FBgn0266557
FBgn0040849	FBgn0040849
FBgn0037501	FBgn0037501
FBgn0026385	FBgn0026385
FBgn0036080	FBgn0036080
FBgn0003747	FBgn0003747
FBgn0041621	FBgn0041621
FBgn0004652	FBgn0004652
FBgn0000504	FBgn0000504
