redundant	header
FBgn0000036	FBgn0000036
FBgn0000038	FBgn0000038
FBgn0000039	FBgn0000039
FBgn0000180	FBgn0000180
FBgn0000535	FBgn0000535
FBgn0001134	FBgn0001134
FBgn0001991	FBgn0001991
FBgn0002917	FBgn0002917
FBgn0003011	FBgn0003011
FBgn0003353	FBgn0003353
FBgn0003380	FBgn0003380
FBgn0003386	FBgn0003386
FBgn0003429	FBgn0003429
FBgn0003710	FBgn0003710
FBgn0003861	FBgn0003861
FBgn0004118	FBgn0004118
FBgn0004244	FBgn0004244
FBgn0004363	FBgn0004363
FBgn0004619	FBgn0004619
FBgn0004620	FBgn0004620
FBgn0005564	FBgn0005564
FBgn0005614	FBgn0005614
FBgn0010051	FBgn0010051
FBgn0010217	FBgn0010217
FBgn0010240	FBgn0010240
FBgn0010399	FBgn0010399
FBgn0010612	FBgn0010612
FBgn0011211	FBgn0011211
FBgn0011286	FBgn0011286
FBgn0011589	FBgn0011589
FBgn0013672	FBgn0013672
FBgn0014391	FBgn0014391
FBgn0015519	FBgn0015519
FBgn0015558	FBgn0015558
FBgn0016120	FBgn0016120
FBgn0016691	FBgn0016691
FBgn0016920	FBgn0016920
FBgn0017561	FBgn0017561
FBgn0019644	FBgn0019644
FBgn0020235	FBgn0020235
FBgn0020258	FBgn0020258
FBgn0020429	FBgn0020429
FBgn0022981	FBgn0022981
FBgn0024319	FBgn0024319
FBgn0024963	FBgn0024963
FBgn0026255	FBgn0026255
FBgn0027589	FBgn0027589
FBgn0028342	FBgn0028342
FBgn0028422	FBgn0028422
FBgn0028523	FBgn0028523
FBgn0028704	FBgn0028704
FBgn0028863	FBgn0028863
FBgn0028875	FBgn0028875
FBgn0028879	FBgn0028879
FBgn0029147	FBgn0029147
FBgn0029733	FBgn0029733
FBgn0029761	FBgn0029761
FBgn0029961	FBgn0029961
FBgn0029965	FBgn0029965
FBgn0029966	FBgn0029966
FBgn0029968	FBgn0029968
FBgn0030349	FBgn0030349
FBgn0030385	FBgn0030385
FBgn0030529	FBgn0030529
FBgn0030707	FBgn0030707
FBgn0030745	FBgn0030745
FBgn0030795	FBgn0030795
FBgn0030844	FBgn0030844
FBgn0031181	FBgn0031181
FBgn0031209	FBgn0031209
FBgn0031261	FBgn0031261
FBgn0031634	FBgn0031634
FBgn0031802	FBgn0031802
FBgn0031803	FBgn0031803
FBgn0031941	FBgn0031941
FBgn0032151	FBgn0032151
FBgn0032434	FBgn0032434
FBgn0032593	FBgn0032593
FBgn0032602	FBgn0032602
FBgn0032706	FBgn0032706
FBgn0032746	FBgn0032746
FBgn0033257	FBgn0033257
FBgn0033259	FBgn0033259
FBgn0033494	FBgn0033494
FBgn0033515	FBgn0033515
FBgn0033558	FBgn0033558
FBgn0033648	FBgn0033648
FBgn0033651	FBgn0033651
FBgn0033755	FBgn0033755
FBgn0033995	FBgn0033995
FBgn0034023	FBgn0034023
FBgn0034272	FBgn0034272
FBgn0034456	FBgn0034456
FBgn0034457	FBgn0034457
FBgn0034458	FBgn0034458
FBgn0034489	FBgn0034489
FBgn0034498	FBgn0034498
FBgn0034730	FBgn0034730
FBgn0034965	FBgn0034965
FBgn0034994	FBgn0034994
FBgn0035019	FBgn0035019
FBgn0035113	FBgn0035113
FBgn0035192	FBgn0035192
FBgn0035458	FBgn0035458
