redundant	header
FBgn0035113	FBgn0035113
FBgn0039839	FBgn0039839
FBgn0013995	FBgn0013995
FBgn0069354	FBgn0069354
FBgn0035696	FBgn0035696
FBgn0053349	FBgn0053349
FBgn0034730	FBgn0034730
FBgn0263390	FBgn0263390
FBgn0259111	FBgn0259111
FBgn0037950	FBgn0037950
FBgn0017561	FBgn0017561
FBgn0031634	FBgn0031634
FBgn0003429	FBgn0003429
FBgn0034265	FBgn0034265
FBgn0011672	FBgn0011672
FBgn0011286	FBgn0011286
FBgn0004363	FBgn0004363
FBgn0260453	FBgn0260453
FBgn0039927	FBgn0039927
FBgn0000039	FBgn0000039
FBgn0033494	FBgn0033494
FBgn0050181	FBgn0050181
FBgn0030529	FBgn0030529
FBgn0263257	FBgn0263257
FBgn0036937	FBgn0036937
FBgn0037098	FBgn0037098
FBgn0025693	FBgn0025693
FBgn0039079	FBgn0039079
FBgn0036712	FBgn0036712
FBgn0032706	FBgn0032706
FBgn0260874	FBgn0260874
FBgn0064119	FBgn0064119
FBgn0003386	FBgn0003386
FBgn0259214	FBgn0259214
FBgn0029968	FBgn0029968
FBgn0265194	FBgn0265194
FBgn0010531	FBgn0010531
FBgn0036816	FBgn0036816
FBgn0037655	FBgn0037655
FBgn0039916	FBgn0039916
FBgn0032151	FBgn0032151
FBgn0000036	FBgn0000036
FBgn0052557	FBgn0052557
FBgn0030349	FBgn0030349
FBgn0085425	FBgn0085425
FBgn0002917	FBgn0002917
FBgn0260454	FBgn0260454
FBgn0259242	FBgn0259242
FBgn0051860	FBgn0051860
FBgn0034456	FBgn0034456
FBgn0035505	FBgn0035505
FBgn0035504	FBgn0035504
FBgn0039424	FBgn0039424
FBgn0036757	FBgn0036757
FBgn0000535	FBgn0000535
FBgn0036414	FBgn0036414
FBgn0036010	FBgn0036010
FBgn0000038	FBgn0000038
FBgn0264087	FBgn0264087
FBgn0062412	FBgn0062412
FBgn0031261	FBgn0031261
FBgn0259683	FBgn0259683
FBgn0033289	FBgn0033289
FBgn0031802	FBgn0031802
FBgn0029174	FBgn0029174
FBgn0039677	FBgn0039677
FBgn0033558	FBgn0033558
FBgn0001134	FBgn0001134
FBgn0065109	FBgn0065109
FBgn0060296	FBgn0060296
FBgn0003380	FBgn0003380
FBgn0038621	FBgn0038621
FBgn0035192	FBgn0035192
FBgn0035934	FBgn0035934
FBgn0052451	FBgn0052451
FBgn0010399	FBgn0010399
FBgn0004244	FBgn0004244
FBgn0052177	FBgn0052177
FBgn0015622	FBgn0015622
FBgn0039840	FBgn0039840
FBgn0003353	FBgn0003353
FBgn0039902	FBgn0039902
FBgn0030610	FBgn0030610
FBgn0085398	FBgn0085398
FBgn0029762	FBgn0029762
FBgn0024963	FBgn0024963
FBgn0036491	FBgn0036491
FBgn0040697	FBgn0040697
FBgn0033648	FBgn0033648
FBgn0051105	FBgn0051105
FBgn0262516	FBgn0262516
FBgn0028875	FBgn0028875
FBgn0022981	FBgn0022981
FBgn0034965	FBgn0034965
FBgn0026255	FBgn0026255
FBgn0025394	FBgn0025394
FBgn0262593	FBgn0262593
FBgn0051116	FBgn0051116
FBgn0031209	FBgn0031209
FBgn0031803	FBgn0031803
FBgn0029733	FBgn0029733
FBgn0029761	FBgn0029761
FBgn0003710	FBgn0003710
FBgn0038693	FBgn0038693
FBgn0039080	FBgn0039080
FBgn0037100	FBgn0037100
FBgn0046113	FBgn0046113
FBgn0053513	FBgn0053513
FBgn0051201	FBgn0051201
FBgn0261041	FBgn0261041
FBgn0085387	FBgn0085387
FBgn0020429	FBgn0020429
FBgn0039679	FBgn0039679
FBgn0035785	FBgn0035785
